,nr_drogi,total_length
2,A4,456.765
70,S19,428.605
63,S10,344.789
64,S11,314.83299999999997
67,S12,307.895
1,A2,227.26
80,S8,221.893
68,S16,197.867
78,S74,194.257
4,A50/S50,180.0
75,S6,166.738
72,S5,151.844
69,S17,129.211
77,S7,118.889
18,GP25,91.839
74,S52,75.973
61,GP94,73.8
73,S50,59.0
65,S11/GP12,57.673
15,GP22,56.363
52,GP74,54.355000000000004
55,GP78,53.795
62,S1,51.285
53,GP75,50.212
6,GP12,47.622
56,GP79,46.161
66,S11/GP15,44.127
10,GP15,41.19199999999999
50,GP73,40.095
19,GP28,39.443
30,GP46,36.31
48,GP7,35.0
0,A1,34.8
71,S3,32.953
35,GP53,30.471
26,GP42,26.32
40,GP62,25.96
3,A50,23.0
57,GP8,22.773
16,GP22/GP25,22.198
54,GP77,22.0
60,GP9,21.5
76,S61,19.885
39,GP61,19.769
38,GP60,19.2
41,GP62/GP63,17.0
13,GP20,16.891
31,GP47,16.136
34,GP51,15.18
22,GP31,14.702
49,GP72,14.049
27,GP42/91,12.083
79,S74/DK9,11.801
20,GP29,11.383
33,GP50,11.298
17,GP24,11.033
29,GP45,10.977
9,GP14,10.825
36,GP55,9.865
44,GP63/GP76,9.5
11,GP15/GP25,9.1
28,GP44,9.045
24,GP39,8.741
14,GP21,8.697
42,GP63,8.5
8,GP13,8.459
5,DK78,7.469
37,GP58/GP63,7.34
12,GP16,7.318
23,GP32,6.375
47,GP67,6.0
51,GP73/GP78,5.8
21,GP3,5.2
43,GP63/GP66,4.877
32,GP49,4.53
58,GP82,4.5
7,GP12/91,3.7
45,GP65,3.16
25,GP41,3.079
46,GP66,2.983
59,GP87,2.041
